id,email,password,rol,fecha_alta
1,oliviatamayo@example.com,+oEQ4RplQ0,Admin,2024-03-29 14:50:41
2,ariadna55@example.net,LvLS1OeBD(,Cliente,2024-09-17 03:46:58
3,juan-carloscarrillo@example.com,$dP3cTGP*8,Chef,2025-03-16 23:02:53
4,ruby90@example.org,7v1YdSlp@j,Cliente,2024-10-29 04:25:59
5,ameliagiron@example.org,v1(Lt+uf#S,Chef,2023-09-03 18:36:07
6,ariadna74@example.org,d81aJ4xB!v,Chef,2024-04-11 19:32:53
7,evadel-valle@example.net,s+C2EiPtyV,Admin,2025-02-27 10:18:37
8,sriojas@example.net,GIa3CQaq1@,Admin,2023-06-24 00:13:08
9,angelgutierrez@example.net,T1$5ddTxg0,Chef,2023-12-31 12:22:17
10,jaime81@example.org,w1e78Ey6@3,Chef,2025-04-02 16:53:07
11,jose-manuelvelasco@example.com,4lxOuQFb&8,Cliente,2025-04-27 15:56:45
12,teresaalejandro@example.net,2v&8bIXW#s,Admin,2025-04-17 12:39:59
13,fromo@example.net,+5F2T!#wG1,Cliente,2023-06-11 21:40:58
14,jonasgranados@example.net,%2lG4D+u%K,Chef,2025-03-26 01:10:51
15,zguzman@example.net,)(I2*$WnCi,Admin,2024-03-20 04:03:44
16,arteagasantiago@example.net,#m5Ule9823,Chef,2024-08-22 03:33:34
17,lalcala@example.com,P%s@_4Xk1I,Cliente,2023-08-21 16:54:52
18,wbustamante@example.org,w&4Geb7CpA,Admin,2023-12-30 19:26:53
19,leonor46@example.org,nD&7WhVwE^,Chef,2024-05-17 23:58:03
20,lgiron@example.net,@0WiQkk#U3,Cliente,2025-01-13 01:27:22
21,corderobruno@example.net,0e2hp3R1_B,Admin,2024-08-11 01:00:00
22,esantiago@example.org,8t+8fZkxh$,Admin,2024-02-27 10:42:52
23,evaloera@example.com,k8F3TSKz*y,Chef,2025-04-01 06:59:21
24,anel48@example.net,%E21HWIvIR,Cliente,2024-05-01 11:44:48
25,amanda18@example.net,*!3TFREiXd,Cliente,2023-06-28 23:10:06
26,luis59@example.org,g#Xa3HMp7*,Admin,2024-04-30 12:58:00
27,slopez@example.com,ROO(EE&z^6,Cliente,2024-12-26 21:36:13
28,juana97@example.com,4vNjqMFF+7,Cliente,2023-12-27 22:53:43
29,leonel51@example.org,7jXZRxwQ%7,Chef,2025-02-21 20:57:20
30,emiliabermudez@example.com,r)g$KPOf(2,Chef,2024-10-24 02:54:29
31,anade-la-torre@example.org,8yK5TzOcv%,Chef,2025-03-31 08:43:42
32,barbaracontreras@example.net,_0Vfbzt@cw,Chef,2024-08-26 22:07:17
33,solizbenito@example.com,$@0Z_!^wOJ,Cliente,2025-01-19 15:16:34
34,mateo13@example.net,cs#m1JwSJ*,Admin,2024-03-08 01:58:02
35,almazedillo@example.net,w33CJycru!,Chef,2024-12-03 09:14:46
36,bquintana@example.net,(aWxK%CxM2,Chef,2025-04-14 18:42:59
37,teodorovillasenor@example.org,rH0ppFXh$k,Chef,2023-07-26 18:52:30
38,nvanegas@example.net,r30V@Ucr#9,Cliente,2023-11-10 15:09:33
39,lourdescarrasco@example.org,Zv+0W3Ze#D,Cliente,2024-02-01 07:48:15
40,de-la-oclaudia@example.net,G8&Ok72L!+,Admin,2024-08-17 07:31:54
41,quezadajesus@example.org,&3SKcMKz9Y,Admin,2024-07-30 10:57:31
42,afeliciano@example.com,%LWd9uGWZ9,Admin,2024-02-18 03:29:01
43,halmonte@example.com,!+7BosgGgm,Admin,2024-05-12 20:22:23
44,amadorverduzco@example.com,hzY3C+*BM),Admin,2025-02-21 10:06:44
45,yzarate@example.com,Kt7ecDa#h+,Cliente,2025-02-19 19:56:29
